Timestamp,Score,Lives,Rocks_Destroyed,Shots_Fired,Shot_Accuracy
2025-05-07 04:07:03,7950,0,42,2610,0.016091954022988506
2025-05-07 04:08:44,5550,0,32,1503,0.021290751829673986
2025-05-07 04:11:24,5350,0,33,2967,0.011122345803842264
2025-05-07 04:14:19,6950,0,40,2982,0.01341381623071764
2025-05-07 04:19:11,14000,0,79,4541,0.017397049108125964
2025-05-07 04:22:28,8700,0,45,3418,0.013165593914569925
2025-05-07 04:26:11,6350,0,34,3013,0.011284434118818453
2025-05-07 04:29:02,3150,0,18,2767,0.006505240332490061
2025-05-07 04:31:33,6250,0,38,1993,0.019066733567486203
2025-05-07 04:33:49,2950,0,16,2006,0.007976071784646061
2025-05-07 04:37:28,6050,0,35,3419,0.010236911377595788
2025-05-07 04:40:10,3950,0,24,2125,0.011294117647058824
2025-05-07 04:42:58,3150,0,20,2546,0.007855459544383346
2025-05-07 04:45:58,5750,0,35,2714,0.012896094325718496
2025-05-07 04:49:39,5500,0,29,3117,0.00930381777350016
2025-05-07 04:51:28,2750,0,11,1515,0.007260726072607261
2025-05-07 04:56:13,7350,0,39,4228,0.009224219489120151
2025-05-07 05:01:14,6100,0,27,5993,0.00450525613215418
2025-05-07 05:05:41,6950,0,41,4389,0.009341535657325132
2025-05-07 05:09:43,7250,0,37,4278,0.008648901355773725
2025-05-07 05:14:47,6550,0,37,5838,0.006337786913326482
2025-05-07 05:18:18,3900,0,22,3448,0.0063805104408352666
2025-05-07 05:21:03,3250,0,14,2996,0.004672897196261682
2025-05-07 05:32:46,13700,0,74,14263,0.005188249316413097
2025-05-07 05:37:31,5600,0,29,5310,0.005461393596986817
2025-05-07 05:44:11,2950,0,15,7520,0.0019946808510638296
2025-05-07 05:49:16,3250,0,19,5631,0.0033741786538803056
2025-05-07 05:50:50,2750,0,16,1841,0.008690928843020097
2025-05-07 05:58:40,12600,0,74,9334,0.007928005142489822
2025-05-07 06:04:06,6950,0,38,6426,0.005913476501711796
2025-05-07 06:09:05,5050,0,29,5993,0.004838978808610045
2025-05-07 06:13:47,5850,0,34,5807,0.005855002583089375
2025-05-07 06:20:26,7150,0,34,8384,0.0040553435114503815
2025-05-07 06:26:01,9150,0,38,6176,0.006152849740932643
2025-05-07 06:29:27,2650,0,12,4242,0.002828854314002829
2025-05-07 06:31:16,3650,0,20,1792,0.011160714285714286
2025-05-07 06:36:16,3450,0,16,6077,0.0026328780648346224
2025-05-07 06:39:55,6400,0,31,3990,0.007769423558897243
2025-05-07 06:44:55,6950,0,39,5214,0.007479861910241657
2025-05-07 06:48:34,2750,0,14,4333,0.0032310177705977385
2025-05-07 06:51:31,3200,0,17,3479,0.004886461626904283
2025-05-07 06:58:19,9050,0,49,7994,0.006129597197898424
2025-05-07 07:03:47,5250,0,26,6433,0.004041660189647132
2025-05-07 07:08:50,3450,0,18,6241,0.0028841531805800353
2025-05-07 07:12:34,5850,0,27,4066,0.006640432857845549
2025-05-07 07:16:11,2950,0,16,4384,0.0036496350364963502
2025-05-07 07:20:27,5350,0,31,4034,0.007684680218145761
2025-05-07 07:25:43,8350,0,51,5741,0.008883469778784184
2025-05-07 07:31:52,6900,0,31,7292,0.0042512342292923755
2025-05-07 07:36:31,6450,0,34,5195,0.006544754571703561
2025-05-07 07:41:26,7350,0,34,5948,0.0057162071284465365
2025-05-07 07:43:43,2350,0,13,2677,0.004856182293612252
2025-05-07 07:47:08,7950,0,42,3987,0.010534236267870579
2025-05-07 07:49:52,2750,0,13,3343,0.003888722704157942
2025-05-07 07:54:15,6050,0,34,4874,0.006975789905621666
2025-05-07 07:59:13,9250,0,52,5759,0.009029345372460496
2025-05-07 08:08:41,9600,0,52,9846,0.005281332520820638
2025-05-07 08:12:31,6000,0,31,4127,0.007511509571117034
2025-05-07 08:18:50,2750,0,9,1882,0.004782146652497344
2025-05-07 08:25:44,8250,0,48,7893,0.006081337894336754
2025-05-07 08:29:39,2950,0,15,3900,0.0038461538461538464
2025-05-07 08:36:06,4450,0,16,7660,0.0020887728459530026
2025-05-07 08:42:11,7350,0,36,7145,0.005038488453463961
2025-05-07 08:46:41,7050,0,37,4061,0.00911105639005171
2025-05-07 08:51:49,5850,0,34,5904,0.005758807588075881
2025-05-07 08:54:38,3450,0,14,2583,0.005420054200542005
2025-05-07 08:58:28,6450,0,39,3899,0.010002564760194921
2025-05-07 09:01:42,5150,0,31,3431,0.009035266686097347
2025-05-07 09:05:58,4650,0,22,3273,0.006721662083715246
2025-05-07 09:09:47,7250,0,39,3531,0.011045029736618521
2025-05-07 09:16:26,4650,0,17,6679,0.0025452912112591706
2025-05-07 09:21:32,5150,0,31,5986,0.005178750417641162
2025-05-07 09:26:13,5600,0,29,4681,0.00619525742362743
2025-05-07 09:30:57,5550,0,30,4606,0.006513243595310464
2025-05-07 09:34:35,3950,0,15,3732,0.0040192926045016075
2025-05-07 09:37:10,4550,0,27,2034,0.01327433628318584
2025-05-07 09:40:47,2950,0,17,2732,0.006222547584187409
2025-05-07 09:45:30,5950,0,32,3231,0.009904054472299598
2025-05-07 09:48:46,5950,0,35,3062,0.011430437622468974
2025-05-07 09:53:45,5050,0,23,3174,0.007246376811594203
2025-05-07 09:57:07,4150,0,18,3175,0.005669291338582677
2025-05-07 09:59:54,3650,0,19,2729,0.006962257237083181
2025-05-07 10:04:39,3650,0,17,4894,0.003473641193297916
2025-05-07 10:09:27,4300,0,25,5516,0.0045322697606961565
2025-05-07 10:12:22,2750,0,13,3034,0.0042847725774555045
2025-05-07 10:17:13,8850,0,41,4128,0.00993217054263566
2025-05-07 10:23:44,4800,0,19,6010,0.003161397670549085
2025-05-07 10:34:32,14400,0,86,10315,0.008337372758119244
2025-05-07 10:39:47,5150,0,15,4485,0.0033444816053511705
2025-05-07 10:43:49,3950,0,17,2653,0.006407840180927252
2025-05-07 10:47:52,7850,0,40,3187,0.012550988390335738
2025-05-07 10:52:56,7950,0,43,4783,0.008990173531256534
2025-05-07 10:56:50,4550,0,31,2946,0.010522742701968771
2025-05-07 11:03:00,9850,0,59,5855,0.010076857386848848
2025-05-07 11:07:11,4200,0,23,3775,0.0060927152317880795
2025-05-07 11:08:38,2750,0,16,1089,0.014692378328741965
2025-05-07 11:13:39,6450,0,35,3841,0.009112210361884926
2025-05-07 11:19:31,8600,0,44,4310,0.010208816705336427
2025-05-07 11:23:21,7950,0,42,3095,0.0135702746365105
2025-05-07 11:29:00,2950,0,17,3281,0.0051813471502590676
2025-05-07 11:33:14,3750,0,12,3878,0.0030943785456420837
2025-05-07 11:38:34,10300,0,58,4075,0.014233128834355829
2025-05-07 11:41:03,2950,0,16,1322,0.012102874432677761
2025-05-07 11:46:21,5650,0,22,2749,0.008002910149145144
2025-05-07 11:49:52,5400,0,30,2429,0.012350761630300536
2025-05-07 11:57:28,12300,0,69,5422,0.012725931390630763
2025-05-07 12:01:07,5400,0,30,2559,0.011723329425556858
2025-05-07 12:07:13,7500,0,34,5186,0.006556112610875434
2025-05-07 12:09:41,2250,0,13,1481,0.008777852802160702
2025-05-07 12:13:31,5900,0,22,3274,0.006719609040928528
2025-05-07 12:16:50,4100,0,24,2130,0.011267605633802818
2025-05-07 12:22:27,7050,0,39,4985,0.0078234704112337
2025-05-07 12:29:06,7650,0,40,5127,0.007801833430856251
2025-05-07 12:33:00,7150,0,43,3667,0.011726206708481048
2025-05-07 12:39:53,11000,0,71,5980,0.011872909698996655
2025-05-07 12:42:38,6150,0,34,1778,0.019122609673790775
2025-05-07 12:46:36,3050,0,15,4243,0.003535234503888758
2025-05-07 12:50:57,5500,0,26,3223,0.008067018305926156
2025-05-07 12:56:37,11400,0,62,4491,0.013805388554887553
2025-05-07 13:02:29,11400,0,63,4260,0.014788732394366197
